facility_id,facility_type,facility_name,facility_lat,facility_lon,A1,A2,A3,A4,facility_phone,facility_email,facility_url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,facility_stops
10268,school,"Escola Profissional de Ciências Geográficas, Lisboa",38.725933,-9.158907,1,,,,213819644,,,"Rua Artilharia 1, nº 107 - Edif. 1 - 1º Piso",1099-052 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060035,060407"
10269,school,Escola Profissional de Comércio de Lisboa,38.781140,-9.120734,1,,,,218540240,,,"R. Vice-Almirante Augusto de Castro Guedes, 51",1800-341 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060153,060261,071413"
10270,school,Escola Profissional de Educação para o Desenvolvimento,38.663696,-9.202367,,,1,,212946040,,,"Largo do Bulhão Pato, nº 56 - Quinta da Torre",2825-114 CAPARICA,Monte da Caparica,,,1503,Almada,15,Setúbal,PT170,AML,"020311,020313,020314,020315,020317,020359,020395,020396"
10271,school,Escola Profissional de Imagem (ETIC),38.707764,-9.147518,1,,,,213942550,,,"Rua D. Luís I, nº 4 e n.º 6",1200-151 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"060417,060418,060419,060451,060452"
10272,school,Escola Profissional de Mafra,38.933023,-9.328112,,1,,,261819904,,,"Av. Movimento das Forças Armadas, N.º 2",2665-601 VENDA DO PINHEIRO,Mafra,,,1109,Mafra,11,Lisboa,PT170,AML,"080199,080218,080461,080462"
10273,school,Escola Profissional de Recuperação do Património de Sintra,38.886143,-9.365895,1,,,,219605920,,,Avª Prof. Dr. D. Fernando de Almeida - Odrinhas,2705-739 SÃO JOÃO DAS LAMPAS,S. João das Lampas,,,1111,Sintra,11,Lisboa,PT170,AML,"172373,172374,172375,172376"
10274,school,Escola Profissional de Teatro de Cascais,38.720985,-9.410851,1,,,,214646150,,,Rua de Damão - Bairro da Alegria,2645-191 ALCABIDECHE,Amoreira,,,1105,Cascais,11,Lisboa,PT170,AML,"050335,050336,050391,050393"
10275,school,Escola Profissional Gustave Eiffel (Pólo da Amadora),38.756893,-9.235760,1,,,,214987950,,,"Rua Luís de Camões, nº 4/6",2700-535 AMADORA,Amadora,,,1115,Amadora,11,Lisboa,PT170,AML,"030315,030317,030319,030467,030469,030475,030477,030479,030539,030541,030601,030685,030821,030845,030869,030880"
10276,school,Escola Profissional Gustave Eiffel (Pólo de Queluz),38.758230,-9.250068,1,,,,214362521,,,"Rua César de Oliveira, nº 15",2745-091 QUELUZ,Queluz,,,1111,Sintra,11,Lisboa,PT170,AML,"171027,171028,171031,171032,172065,172066,172495"
10277,school,Escola Profissional Gustave Eiffel (Sede),38.756090,-9.219311,1,,,,214996440,,,"Rua Elias Garcia, nº 29",2700-312 AMADORA,Venda Nova,,,1115,Amadora,11,Lisboa,PT170,AML,"030151,030152,030153,030154,030155,030157,030303,030305,030307,030607,030609,030613,030723,030724,030797,030853,030860,030882"
10278,school,Escola Profissional Jean Piaget de Almada,38.665493,-9.177300,,,1,,,,,,,,,,1503,Almada,15,Setúbal,PT170,AML,020073
10279,school,Escola Profissional Magestil,38.753680,-9.130891,1,,,,218474029,,,"Av. Almirante Gago Coutinho, nº 95",1700-028 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"061207,061211,061221,061222"
10280,school,Escola Profissional Profitecla (Deleg.),38.739876,-9.148220,1,,,,217930911,,,"Avenida 5 de Outubro, n.º 146 - 4º e 5º Pisos",1050-061 LISBOA,Lisboa,,,1106,Lisboa,11,Lisboa,PT170,AML,"061217,061218,061219,061220"
10281,school,Escola Profissional Val do Rio,38.694756,-9.312725,1,,,,214413072,,,"Rua Junção do Bem, 3",2780-261 OEIRAS,Oeiras,,,1110,Oeiras,11,Lisboa,PT170,AML,"120731,120733,120735,120777,120779,120781,120783,121111,121112,121195"
