agency_id,route_id,fare_id
CM,2328_0,BORDO-2
CM,2329_0,BORDO-2
CM,2331_0,BORDO-1
CM,2333_0,BORDO-1
CM,2335_0,BORDO-1
CM,2501_0,BORDO-2
CM,2502_0,BORDO-2
CM,2503_0,BORDO-2
CM,2503_1,BORDO-2
CM,2504_0,BORDO-2
CM,2505_0,BORDO-2
CM,2506_0,BORDO-2
CM,2510_0,BORDO-2
CM,2510_1,BORDO-2
CM,2510_2,BORDO-2
CM,2510_4,BORDO-2
CM,2510_5,BORDO-2
CM,2510_6,BORDO-2
CM,2511_0,BORDO-2
CM,2512_0,BORDO-2
CM,2513_0,BORDO-2
CM,2513_1,BORDO-2
CM,2513_2,BORDO-2
CM,2515_0,BORDO-2
CM,2515_1,BORDO-2
CM,2516_0,BORDO-2
CM,2517_0,BORDO-2
CM,2517_1,BORDO-2
CM,2518_0,BORDO-2
CM,2519_0,BORDO-2
CM,2520_0,BORDO-2
CM,2520_1,BORDO-2
CM,2521_0,BORDO-2
CM,2522_0,BORDO-2
CM,2523_0,BORDO-2
CM,2523_1,BORDO-2
CM,2524_0,BORDO-2
CM,2524_1,BORDO-2
CM,2525_0,BORDO-2
CM,2530_0,BORDO-2
CM,2530_1,BORDO-2
CM,2532_0,BORDO-2
CM,2532_1,BORDO-2
CM,2532_3,BORDO-2
CM,2533_0,BORDO-2
CM,2534_0,BORDO-2
CM,2535_0,BORDO-2
CM,2536_0,BORDO-2
CM,2537_0,BORDO-2
CM,2537_1,BORDO-2
CM,2538_0,BORDO-2
CM,2538_1,BORDO-2
CM,2539_0,BORDO-2
CM,2540_0,BORDO-2
CM,2601_0,BORDO-2
CM,2601_1,BORDO-2
CM,2605_0,BORDO-2
CM,2605_1,BORDO-2
CM,2605_2,BORDO-2
CM,2605_3,BORDO-2
CM,2610_0,BORDO-2
CM,2611_0,BORDO-2
CM,2620_0,BORDO-2
CM,2621_0,BORDO-2
CM,2621_1,BORDO-2
CM,2625_0,BORDO-2
CM,2626_0,BORDO-2
CM,2626_1,BORDO-2
CM,2627_0,BORDO-2
CM,2627_1,BORDO-2
CM,2630_0,BORDO-1
CM,2630_1,BORDO-1
CM,2632_0,BORDO-2
CM,2632_1,BORDO-2
CM,2652_0,BORDO-5
CM,2701_0,BORDO-2
CM,2702_0,BORDO-2
CM,2703_0,BORDO-2
CM,2703_1,BORDO-2
CM,2705_0,BORDO-2
CM,2705_3,BORDO-2
CM,2706_0,BORDO-2
CM,2706_1,BORDO-2
CM,2708_0,BORDO-2
CM,2708_2,BORDO-2
CM,2709_0,BORDO-2
CM,2710_0,BORDO-2
CM,2711_0,BORDO-2
CM,2711_1,BORDO-2
CM,2711_3,BORDO-2
CM,2711_4,BORDO-2
CM,2711_5,BORDO-2
CM,2711_6,BORDO-2
CM,2713_0,BORDO-2
CM,2713_1,BORDO-2
CM,2713_2,BORDO-2
CM,2713_3,BORDO-2
CM,2713_4,BORDO-2
CM,2713_5,BORDO-2
CM,2714_0,BORDO-2
CM,2715_0,BORDO-2
CM,2716_0,BORDO-2
CM,2717_0,BORDO-2
CM,2718_0,BORDO-2
CM,2719_0,BORDO-2
CM,2720_0,BORDO-2
CM,2722_0,BORDO-2
CM,2722_1,BORDO-2
CM,2723_0,BORDO-2
CM,2724_0,BORDO-2
CM,2725_0,BORDO-2
CM,2725_1,BORDO-2
CM,2725_2,BORDO-2
CM,2726_0,BORDO-2
CM,2727_0,BORDO-2
CM,2727_1,BORDO-2
CM,2728_0,BORDO-2
CM,2729_0,BORDO-2
CM,2730_0,BORDO-2
CM,2731_0,BORDO-2
CM,2731_1,BORDO-2
CM,2732_0,BORDO-2
CM,2732_1,BORDO-2
CM,2733_0,BORDO-2
CM,2734_0,BORDO-2
CM,2735_0,BORDO-2
CM,2736_0,BORDO-2
CM,2736_1,BORDO-2
CM,2736_2,BORDO-2
CM,2736_3,BORDO-2
CM,2740_0,BORDO-3
CM,2740_1,BORDO-3
CM,2740_2,BORDO-3
CM,2741_0,BORDO-3
CM,2741_1,BORDO-3
CM,2742_0,BORDO-3
CM,2743_0,BORDO-2
CM,2744_0,BORDO-3
CM,2745_0,BORDO-2
CM,2745_1,BORDO-2
CM,2746_0,BORDO-3
CM,2750_0,BORDO-2
CM,2750_1,BORDO-2
CM,2750_2,BORDO-2
CM,2750_3,BORDO-2
CM,2750_4,BORDO-2
CM,2750_5,BORDO-2
CM,2750_6,BORDO-2
CM,2750_7,BORDO-2
CM,2751_0,BORDO-2
CM,2751_1,BORDO-2
CM,2752_0,BORDO-2
CM,2753_0,BORDO-2
CM,2754_0,BORDO-2
CM,2754_1,BORDO-2
CM,2754_2,BORDO-2
CM,2755_0,BORDO-2
CM,2756_0,BORDO-2
CM,2756_1,BORDO-2
CM,2758_0,BORDO-2
CM,2762_0,BORDO-2
CM,2762_1,BORDO-2
CM,2764_0,BORDO-2
CM,2764_1,BORDO-2
CM,2764_2,BORDO-2
CM,2765_0,BORDO-2
CM,2765_1,BORDO-2
CM,2768_0,BORDO-2
CM,2769_0,BORDO-2
CM,2769_1,BORDO-2
CM,2769_2,BORDO-2
CM,2769_3,BORDO-2
CM,2772_0,BORDO-2
CM,2772_1,BORDO-2
CM,2772_2,BORDO-2
CM,2772_3,BORDO-2
CM,2772_4,BORDO-2
CM,2772_5,BORDO-2
CM,2774_0,BORDO-2
CM,2774_1,BORDO-2
CM,2776_0,BORDO-2
CM,2776_1,BORDO-2
CM,2778_0,BORDO-2
CM,2778_1,BORDO-2
CM,2778_2,BORDO-2
CM,2779_0,BORDO-2
CM,2780_0,BORDO-2
CM,2781_0,BORDO-2
CM,2781_1,BORDO-2
CM,2785_0,BORDO-2
CM,2785_1,BORDO-2
CM,2790_0,BORDO-2
CM,2790_1,BORDO-2
CM,2790_2,BORDO-2
CM,2791_0,BORDO-2
CM,2791_2,BORDO-2
CM,2791_3,BORDO-2
CM,2792_0,BORDO-2
CM,2792_1,BORDO-2
CM,2794_0,BORDO-2
CM,2794_1,BORDO-2
CM,2795_0,BORDO-2
CM,2795_1,BORDO-2
CM,2795_2,BORDO-2
CM,2795_3,BORDO-2
CM,2796_0,BORDO-2
CM,2796_1,BORDO-2
CM,2797_0,BORDO-2
CM,2797_1,BORDO-2
CM,2797_2,BORDO-2
CM,2801_0,BORDO-3
CM,2801_1,BORDO-3
CM,2801_2,BORDO-3
CM,2802_0,BORDO-3
CM,2803_0,BORDO-3
CM,2803_1,BORDO-3
CM,2804_0,BORDO-3
CM,2804_1,BORDO-3
CM,2805_0,BORDO-3
CM,2806_0,BORDO-3
CM,2807_0,BORDO-3
CM,2810_0,BORDO-2
CM,2811_0,BORDO-2
CM,2811_1,BORDO-2
CM,2812_0,BORDO-2
CM,2812_1,BORDO-2
CM,2812_2,BORDO-2
CM,2813_0,BORDO-2
CM,2814_0,BORDO-2
CM,2816_0,BORDO-2
CM,2817_0,BORDO-2
CM,2818_0,BORDO-2
CM,2819_0,BORDO-2
CM,2820_0,BORDO-2
CM,2821_0,BORDO-2
CM,2821_1,BORDO-2
CM,2822_0,BORDO-2
CM,2823_0,BORDO-2
CM,2824_0,BORDO-2
CM,2824_1,BORDO-2
CM,2830_1,BORDO-2
CM,2831_0,BORDO-2
CM,2832_0,BORDO-2
CM,2833_0,BORDO-2
CM,2833_1,BORDO-2
CM,2841_0,BORDO-2
CM,2841_2,BORDO-2
CM,2842_0,BORDO-2
CM,2900_0,BORDO-3
CM,2901_0,BORDO-2
CM,2901_1,BORDO-2
CM,2905_0,BORDO-4-A
CM,2906_0,BORDO-2
CM,2907_0,BORDO-2
CM,2908_0,BORDO-4-A
CM,2908_1,BORDO-4-A
CM,2909_0,BORDO-4-A
CM,2909_1,BORDO-4-A
CM,2910_0,BORDO-2
CM,2910_1,BORDO-2
CM,2911_0,BORDO-2
CM,2911_1,BORDO-2
CM,2912_0,BORDO-2
CM,2913_0,BORDO-2
CM,2913_1,BORDO-2
CM,2914_0,BORDO-4-A
CM,2915_0,BORDO-2
CM,2920_0,BORDO-2
CM,2921_0,BORDO-4-A
CM,2926_0,BORDO-2
CM,2927_0,BORDO-2
CM,2928_0,BORDO-2
CM,2152_0,BORDO-2
CM,2336_0,BORDO-1
CM,3001_0,BORDO-1
CM,3003_0,BORDO-2
CM,3004_0,BORDO-2
CM,3006_0,BORDO-1
CM,3007_0,BORDO-2
CM,3008_0,BORDO-2
CM,3009_0,BORDO-2
CM,3011_0,BORDO-2
CM,3011_1,BORDO-2
CM,3012_0,BORDO-2
CM,3012_1,BORDO-2
CM,3013_0,BORDO-2
CM,3014_0,BORDO-2
CM,3015_0,BORDO-2
CM,3017_0,BORDO-2
CM,3018_0,BORDO-2
CM,3019_0,BORDO-2
CM,3021_0,BORDO-2
CM,3022_0,BORDO-2
CM,3024_0,BORDO-2
CM,3025_0,BORDO-2
CM,3026_0,BORDO-1
CM,3026_1,BORDO-1
CM,3027_0,BORDO-2
CM,3030_0,BORDO-2
CM,3033_0,BORDO-1
CM,3034_0,BORDO-2
CM,3040_0,BORDO-2
CM,3040_1,BORDO-2
CM,3041_0,BORDO-2
CM,3101_0,BORDO-1
CM,3103_0,BORDO-2
CM,3104_0,BORDO-2
CM,3105_0,BORDO-2
CM,3106_0,BORDO-1
CM,3107_0,BORDO-1
CM,3107_1,BORDO-1
CM,3108_0,BORDO-1
CM,3109_0,BORDO-2
CM,3110_0,BORDO-2
CM,3111_0,BORDO-2
CM,3111_1,BORDO-2
CM,3112_0,BORDO-1
CM,3113_0,BORDO-1
CM,3114_0,BORDO-2
CM,3116_0,BORDO-2
CM,3116_1,BORDO-2
CM,3118_0,BORDO-2
CM,3118_1,BORDO-2
CM,3119_0,BORDO-2
CM,3120_0,BORDO-2
CM,3121_0,BORDO-1
CM,3201_0,BORDO-2
CM,3202_0,BORDO-2
CM,3203_0,BORDO-2
CM,3204_0,BORDO-2
CM,3205_0,BORDO-2
CM,3206_0,BORDO-2
CM,3207_0,BORDO-2
CM,3208_0,BORDO-2
CM,3209_0,BORDO-2
CM,3210_0,BORDO-2
CM,3211_0,BORDO-2
CM,3212_0,BORDO-2
CM,3213_0,BORDO-2
CM,3214_0,BORDO-2
CM,3215_0,BORDO-2
CM,3216_0,BORDO-2
CM,3217_0,BORDO-2
CM,3218_2,BORDO-1
CM,3220_1,BORDO-1
CM,3221_0,BORDO-2
CM,3222_0,BORDO-1
CM,3223_0,BORDO-1
CM,3502_0,BORDO-2
CM,3503_0,BORDO-2
CM,3504_0,BORDO-2
CM,3505_0,BORDO-2
CM,3506_0,BORDO-2
CM,3507_0,BORDO-2
CM,3508_0,BORDO-2
CM,3508_1,BORDO-2
CM,3508_2,BORDO-2
CM,3508_3,BORDO-2
CM,3509_0,BORDO-2
CM,3509_1,BORDO-2
CM,3511_0,BORDO-2
CM,3511_1,BORDO-2
CM,3512_0,BORDO-2
CM,3513_0,BORDO-2
CM,3513_1,BORDO-2
CM,3514_0,BORDO-2
CM,3516_0,BORDO-2
CM,3517_0,BORDO-2
CM,3518_0,BORDO-2
CM,3521_0,BORDO-2
CM,3521_1,BORDO-2
CM,3523_0,BORDO-2
CM,3523_1,BORDO-2
CM,3524_0,BORDO-2
CM,3525_0,BORDO-2
CM,3526_0,BORDO-2
CM,3526_1,BORDO-2
CM,3527_0,BORDO-2
CM,3527_1,BORDO-2
CM,3528_0,BORDO-2
CM,3535_0,BORDO-2
CM,3536_0,BORDO-2
CM,3540_0,BORDO-2
CM,3541_0,BORDO-2
CM,3543_0,BORDO-2
CM,3544_0,BORDO-2
CM,3545_0,BORDO-2
CM,3546_0,BORDO-2
CM,3547_0,BORDO-2
CM,3548_0,BORDO-2
CM,3549_0,BORDO-2
CM,3549_1,BORDO-2
CM,3601_0,BORDO-2
CM,3605_0,BORDO-2
CM,3615_0,BORDO-2
CM,3620_0,BORDO-2
CM,3625_0,BORDO-2
CM,3626_0,BORDO-2
CM,3635_0,BORDO-2
CM,3635_1,BORDO-2
CM,3640_0,BORDO-2
CM,3641_0,BORDO-2
CM,3701_0,BORDO-2
CM,3702_0,BORDO-2
CM,3703_0,BORDO-2
CM,3703_1,BORDO-2
CM,3704_0,BORDO-2
CM,3705_0,BORDO-2
CM,3706_0,BORDO-2
CM,3708_0,BORDO-2
CM,3709_0,BORDO-2
CM,3710_0,BORDO-2
CM,3711_0,BORDO-2
CM,3715_0,BORDO-2
CM,3716_0,BORDO-2
CM,3717_0,BORDO-2
CM,3720_0,BORDO-3
CM,3721_0,BORDO-3
CM,3005_0,BORDO-1
CM,3029_0,BORDO-1
CM,3020_0,BORDO-1
CM,3037_0,BORDO-1
CM,3038_0,BORDO-1
CM,4001_0,BORDO-1
CM,4002_0,BORDO-2
CM,4101_0,BORDO-2
CM,4102_0,BORDO-2
CM,4103_0,BORDO-1
CM,4104_0,BORDO-1
CM,4201_0,BORDO-2
CM,4202_0,BORDO-2
CM,4203_0,BORDO-1
CM,4204_0,BORDO-1
CM,4205_0,BORDO-2
CM,4205_1,BORDO-2
CM,4206_0,BORDO-1
CM,4207_0,BORDO-1
CM,4207_1,BORDO-1
CM,4207_2,BORDO-1
CM,4208_0,BORDO-2
CM,4211_0,BORDO-1
CM,4212_0,BORDO-2
CM,4301_0,BORDO-1
CM,4302_0,BORDO-2
CM,4303_0,BORDO-1
CM,4304_0,BORDO-2
CM,4305_0,BORDO-2
CM,4307_0,BORDO-2
CM,4307_1,BORDO-2
CM,4308_0,BORDO-2
CM,4310_0,BORDO-2
CM,4311_0,BORDO-2
CM,4312_0,BORDO-2
CM,4312_1,BORDO-2
CM,4312_2,BORDO-2
CM,4313_0,BORDO-2
CM,4320_0,BORDO-1
CM,4321_0,BORDO-2
CM,4322_0,BORDO-2
CM,4322_1,BORDO-2
CM,4401_0,BORDO-2
CM,4402_0,BORDO-2
CM,4403_0,BORDO-1
CM,4404_0,BORDO-1
CM,4405_0,BORDO-2
CM,4406_0,BORDO-1
