route_id,fare_id,fare_color,fare_text_color
2107_0,LONGA,ED1944,FFFFFF
2107_1,LONGA,ED1944,FFFFFF
2108_0,LONGA,ED1944,FFFFFF
2109_0,LONGA,ED1944,FFFFFF
2110_0,LONGA,ED1944,FFFFFF
2110_1,LONGA,ED1944,FFFFFF
2110_2,LONGA,ED1944,FFFFFF
2111_0,LONGA,ED1944,FFFFFF
2112_0,LONGA,ED1944,FFFFFF
2113_0,LONGA,ED1944,FFFFFF
2113_1,LONGA,ED1944,FFFFFF
2114_0,LONGA,ED1944,FFFFFF
2115_0,LONGA,ED1944,FFFFFF
2116_0,LONGA,ED1944,FFFFFF
2117_0,LONGA,ED1944,FFFFFF
2117_1,LONGA,ED1944,FFFFFF
2117_2,LONGA,ED1944,FFFFFF
2118_0,LONGA,ED1944,FFFFFF
2118_1,LONGA,ED1944,FFFFFF
2118_2,LONGA,ED1944,FFFFFF
2118_3,LONGA,ED1944,FFFFFF
2118_4,LONGA,ED1944,FFFFFF
2118_5,LONGA,ED1944,FFFFFF
2119_0,LONGA,ED1944,FFFFFF
2119_1,LONGA,ED1944,FFFFFF
2120_0,LONGA,ED1944,FFFFFF
2121_0,LONGA,ED1944,FFFFFF
2122_0,LONGA,ED1944,FFFFFF
2123_0,LONGA,ED1944,FFFFFF
2123_1,LONGA,ED1944,FFFFFF
2123_2,LONGA,ED1944,FFFFFF
2124_0,PROXIMA,3D85C6,FFFFFF
2125_0,PROXIMA,3D85C6,FFFFFF
2125_1,PROXIMA,3D85C6,FFFFFF
2126_0,PROXIMA,3D85C6,FFFFFF
2127_0,LONGA,ED1944,FFFFFF
2128_0,LONGA,ED1944,FFFFFF
2129_0,LONGA,ED1944,FFFFFF
2130_0,LONGA,ED1944,FFFFFF
2130_1,LONGA,ED1944,FFFFFF
2131_0,LONGA,ED1944,FFFFFF
2131_1,LONGA,ED1944,FFFFFF
2132_0,LONGA,ED1944,FFFFFF
2132_1,LONGA,ED1944,FFFFFF
2133_0,LONGA,ED1944,FFFFFF
2133_1,LONGA,ED1944,FFFFFF
2133_2,LONGA,ED1944,FFFFFF
2133_3,LONGA,ED1944,FFFFFF
2133_4,LONGA,ED1944,FFFFFF
2134_0,LONGA,ED1944,FFFFFF
2135_0,LONGA,ED1944,FFFFFF
2136_0,LONGA,ED1944,FFFFFF
2137_0,LONGA,ED1944,FFFFFF
2137_1,LONGA,ED1944,FFFFFF
2138_0,LONGA,ED1944,FFFFFF
2139_0,LONGA,ED1944,FFFFFF
2140_0,LONGA,ED1944,FFFFFF
2141_0,LONGA,ED1944,FFFFFF
2142_0,PROXIMA,3D85C6,FFFFFF
2142_1,PROXIMA,3D85C6,FFFFFF
2142_2,PROXIMA,3D85C6,FFFFFF
2143_0,LONGA,ED1944,FFFFFF
2144_0,LONGA,ED1944,FFFFFF
2144_1,LONGA,ED1944,FFFFFF
2144_2,LONGA,ED1944,FFFFFF
2144_3,LONGA,ED1944,FFFFFF
2145_0,LONGA,ED1944,FFFFFF
2145_1,LONGA,ED1944,FFFFFF
2146_0,LONGA,ED1944,FFFFFF
2147_0,LONGA,ED1944,FFFFFF
2147_1,LONGA,ED1944,FFFFFF
2148_0,LONGA,ED1944,FFFFFF
2148_1,LONGA,ED1944,FFFFFF
2149_0,LONGA,ED1944,FFFFFF
2150_0,LONGA,ED1944,FFFFFF
2150_1,LONGA,ED1944,FFFFFF
2151_0,LONGA,ED1944,FFFFFF
2201_0,LONGA,ED1944,FFFFFF
2202_0,LONGA,ED1944,FFFFFF
2203_0,LONGA,ED1944,FFFFFF
2203_1,LONGA,ED1944,FFFFFF
2204_0,PROXIMA,3D85C6,FFFFFF
2205_0,LONGA,ED1944,FFFFFF
2206_0,LONGA,ED1944,FFFFFF
2207_0,LONGA,ED1944,FFFFFF
2208_0,LONGA,ED1944,FFFFFF
2209_0,LONGA,ED1944,FFFFFF
2210_0,LONGA,ED1944,FFFFFF
2211_0,LONGA,ED1944,FFFFFF
2212_0,PROXIMA,3D85C6,FFFFFF
2213_0,LONGA,ED1944,FFFFFF
2213_1,LONGA,ED1944,FFFFFF
2213_2,LONGA,ED1944,FFFFFF
2215_0,LONGA,ED1944,FFFFFF
2216_0,LONGA,ED1944,FFFFFF
2217_0,LONGA,ED1944,FFFFFF
2217_1,LONGA,ED1944,FFFFFF
2217_2,LONGA,ED1944,FFFFFF
2218_0,LONGA,ED1944,FFFFFF
2219_0,LONGA,ED1944,FFFFFF
2219_1,LONGA,ED1944,FFFFFF
2220_0,PROXIMA,3D85C6,FFFFFF
2220_2,PROXIMA,3D85C6,FFFFFF
2220_3,PROXIMA,3D85C6,FFFFFF
2221_0,LONGA,ED1944,FFFFFF
2221_1,LONGA,ED1944,FFFFFF
2222_0,PROXIMA,3D85C6,FFFFFF
2223_0,LONGA,ED1944,FFFFFF
2223_1,LONGA,ED1944,FFFFFF
2224_0,LONGA,ED1944,FFFFFF
2225_0,LONGA,ED1944,FFFFFF
2225_1,LONGA,ED1944,FFFFFF
2225_2,LONGA,ED1944,FFFFFF
2225_3,LONGA,ED1944,FFFFFF
2302_0,LONGA,ED1944,FFFFFF
2303_0,LONGA,ED1944,FFFFFF
2304_0,LONGA,ED1944,FFFFFF
2305_0,PROXIMA,3D85C6,FFFFFF
2306_0,LONGA,ED1944,FFFFFF
2306_1,LONGA,ED1944,FFFFFF
2306_2,LONGA,ED1944,FFFFFF
2307_0,LONGA,ED1944,FFFFFF
2309_0,LONGA,ED1944,FFFFFF
2309_1,LONGA,ED1944,FFFFFF
2309_2,LONGA,ED1944,FFFFFF
2309_3,LONGA,ED1944,FFFFFF
2309_4,LONGA,ED1944,FFFFFF
2309_5,LONGA,ED1944,FFFFFF
2309_6,LONGA,ED1944,FFFFFF
2309_7,LONGA,ED1944,FFFFFF
2309_8,LONGA,ED1944,FFFFFF
2309_9,LONGA,ED1944,FFFFFF
2310_0,LONGA,ED1944,FFFFFF
2310_1,LONGA,ED1944,FFFFFF
2310_2,LONGA,ED1944,FFFFFF
2310_3,LONGA,ED1944,FFFFFF
2311_0,LONGA,ED1944,FFFFFF
2312_0,LONGA,ED1944,FFFFFF
2315_0,LONGA,ED1944,FFFFFF
2316_0,LONGA,ED1944,FFFFFF
2317_0,LONGA,ED1944,FFFFFF
2317_1,LONGA,ED1944,FFFFFF
2317_2,LONGA,ED1944,FFFFFF
2318_0,PROXIMA,3D85C6,FFFFFF
2318_1,PROXIMA,3D85C6,FFFFFF
2318_2,PROXIMA,3D85C6,FFFFFF
2319_0,PROXIMA,3D85C6,FFFFFF
2319_1,PROXIMA,3D85C6,FFFFFF
2320_0,LONGA,ED1944,FFFFFF
2321_0,LONGA,ED1944,FFFFFF
2322_0,PROXIMA,3D85C6,FFFFFF
2323_0,PROXIMA,3D85C6,FFFFFF
2323_1,PROXIMA,3D85C6,FFFFFF
2324_0,LONGA,ED1944,FFFFFF
2324_1,LONGA,ED1944,FFFFFF
2325_0,LONGA,ED1944,FFFFFF
2327_0,LONGA,ED1944,FFFFFF
2327_1,LONGA,ED1944,FFFFFF
2328_0,LONGA,ED1944,FFFFFF
2328_1,LONGA,ED1944,FFFFFF
2329_0,LONGA,ED1944,FFFFFF
2331_0,PROXIMA,3D85C6,FFFFFF
2331_1,PROXIMA,3D85C6,FFFFFF
2333_0,PROXIMA,3D85C6,FFFFFF
2334_0,PROXIMA,3D85C6,FFFFFF
2335_0,PROXIMA,3D85C6,FFFFFF
2335_1,PROXIMA,3D85C6,FFFFFF
2501_0,LONGA,ED1944,FFFFFF
2502_0,LONGA,ED1944,FFFFFF
2503_0,LONGA,ED1944,FFFFFF
2503_1,LONGA,ED1944,FFFFFF
2504_0,LONGA,ED1944,FFFFFF
2505_0,LONGA,ED1944,FFFFFF
2506_0,LONGA,ED1944,FFFFFF
2510_0,LONGA,ED1944,FFFFFF
2510_1,LONGA,ED1944,FFFFFF
2510_2,LONGA,ED1944,FFFFFF
2510_4,LONGA,ED1944,FFFFFF
2510_5,LONGA,ED1944,FFFFFF
2510_6,LONGA,ED1944,FFFFFF
2511_0,LONGA,ED1944,FFFFFF
2512_0,LONGA,ED1944,FFFFFF
2513_0,LONGA,ED1944,FFFFFF
2513_1,LONGA,ED1944,FFFFFF
2513_2,LONGA,ED1944,FFFFFF
2515_0,LONGA,ED1944,FFFFFF
2515_1,LONGA,ED1944,FFFFFF
2516_0,LONGA,ED1944,FFFFFF
2517_0,LONGA,ED1944,FFFFFF
2517_1,LONGA,ED1944,FFFFFF
2518_0,LONGA,ED1944,FFFFFF
2519_0,LONGA,ED1944,FFFFFF
2520_0,LONGA,ED1944,FFFFFF
2520_1,LONGA,ED1944,FFFFFF
2521_0,LONGA,ED1944,FFFFFF
2522_0,LONGA,ED1944,FFFFFF
2523_0,LONGA,ED1944,FFFFFF
2523_1,LONGA,ED1944,FFFFFF
2524_0,LONGA,ED1944,FFFFFF
2524_1,LONGA,ED1944,FFFFFF
2525_0,LONGA,ED1944,FFFFFF
2530_0,LONGA,ED1944,FFFFFF
2530_1,LONGA,ED1944,FFFFFF
2532_0,LONGA,ED1944,FFFFFF
2532_1,LONGA,ED1944,FFFFFF
2532_2,LONGA,ED1944,FFFFFF
2532_3,LONGA,ED1944,FFFFFF
2533_0,LONGA,ED1944,FFFFFF
2533_1,LONGA,ED1944,FFFFFF
2533_2,LONGA,ED1944,FFFFFF
2533_3,LONGA,ED1944,FFFFFF
2534_0,LONGA,ED1944,FFFFFF
2535_0,LONGA,ED1944,FFFFFF
2536_0,LONGA,ED1944,FFFFFF
2537_0,LONGA,ED1944,FFFFFF
2537_1,LONGA,ED1944,FFFFFF
2538_0,LONGA,ED1944,FFFFFF
2538_1,LONGA,ED1944,FFFFFF
2539_0,LONGA,ED1944,FFFFFF
2540_0,LONGA,ED1944,FFFFFF
2601_0,LONGA,ED1944,FFFFFF
2601_1,LONGA,ED1944,FFFFFF
2605_0,LONGA,ED1944,FFFFFF
2605_1,LONGA,ED1944,FFFFFF
2605_2,LONGA,ED1944,FFFFFF
2605_3,LONGA,ED1944,FFFFFF
2610_0,LONGA,ED1944,FFFFFF
2611_0,LONGA,ED1944,FFFFFF
2620_0,LONGA,ED1944,FFFFFF
2621_0,LONGA,ED1944,FFFFFF
2621_1,LONGA,ED1944,FFFFFF
2625_0,LONGA,ED1944,FFFFFF
2626_0,LONGA,ED1944,FFFFFF
2626_1,LONGA,ED1944,FFFFFF
2627_0,LONGA,ED1944,FFFFFF
2627_1,LONGA,ED1944,FFFFFF
2630_0,PROXIMA,3D85C6,FFFFFF
2630_1,PROXIMA,3D85C6,FFFFFF
2632_0,LONGA,ED1944,FFFFFF
2632_1,LONGA,ED1944,FFFFFF
2650_0,MAR,00B8B0,FFFFFF
2651_0,MAR,00B8B0,FFFFFF
2652_0,MAR,00B8B0,FFFFFF
2701_0,LONGA,ED1944,FFFFFF
2702_0,LONGA,ED1944,FFFFFF
2703_0,LONGA,ED1944,FFFFFF
2703_1,LONGA,ED1944,FFFFFF
2705_0,LONGA,ED1944,FFFFFF
2705_1,LONGA,ED1944,FFFFFF
2705_2,LONGA,ED1944,FFFFFF
2705_3,LONGA,ED1944,FFFFFF
2706_0,LONGA,ED1944,FFFFFF
2706_1,LONGA,ED1944,FFFFFF
2708_0,LONGA,ED1944,FFFFFF
2708_2,LONGA,ED1944,FFFFFF
2709_0,LONGA,ED1944,FFFFFF
2710_0,LONGA,ED1944,FFFFFF
2711_0,LONGA,ED1944,FFFFFF
2711_1,LONGA,ED1944,FFFFFF
2711_2,LONGA,ED1944,FFFFFF
2711_3,LONGA,ED1944,FFFFFF
2711_4,LONGA,ED1944,FFFFFF
2711_5,LONGA,ED1944,FFFFFF
2711_6,LONGA,ED1944,FFFFFF
2713_0,LONGA,ED1944,FFFFFF
2713_1,LONGA,ED1944,FFFFFF
2713_2,LONGA,ED1944,FFFFFF
2713_3,LONGA,ED1944,FFFFFF
2713_4,LONGA,ED1944,FFFFFF
2713_5,LONGA,ED1944,FFFFFF
2714_0,LONGA,ED1944,FFFFFF
2715_0,LONGA,ED1944,FFFFFF
2716_0,LONGA,ED1944,FFFFFF
2717_0,LONGA,ED1944,FFFFFF
2718_0,LONGA,ED1944,FFFFFF
2719_0,LONGA,ED1944,FFFFFF
2720_0,LONGA,ED1944,FFFFFF
2722_0,LONGA,ED1944,FFFFFF
2722_1,LONGA,ED1944,FFFFFF
2723_0,LONGA,ED1944,FFFFFF
2724_0,LONGA,ED1944,FFFFFF
2725_0,LONGA,ED1944,FFFFFF
2725_1,LONGA,ED1944,FFFFFF
2725_2,LONGA,ED1944,FFFFFF
2726_0,LONGA,ED1944,FFFFFF
2727_0,LONGA,ED1944,FFFFFF
2727_1,LONGA,ED1944,FFFFFF
2728_0,LONGA,ED1944,FFFFFF
