A1,A2,A3,A4,stop_id,stop_name,stop_lat,stop_lon,verification_status,stop_remarks,stop_code,old_stop_id,stop_id_stepp,public_visible,location_type,zone_shift,stop_url,parent_station,wheelchair_boarding,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2,zone_id,stop_timezone,level_id,platform_code
0,0,0,1,130031,PALMELA (LARGO DO MERCADO),38.568700,-8.901400,,,130031,,119061,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130035,PALMELA (LARGO DO MUNICÍPIO),38.567400,-8.898810,,,130035,,119062,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130036,PALMELA (RUA LUIS DE CAMÕES),38.567849,-8.898966,nome e localizacao alterados,,130036,,119062,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130037,CASTELO DE PALMELA,38.566200,-8.900720,,,130037,,119001,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130041,PALMELA (CEMITÉRIO),38.573500,-8.896480,,,130041,,118999,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130043,PALMELA (CENTRO DE SAÚDE),38.570900,-8.897560,,,130043,,118998,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130045,PALMELA (LARGO 5 DE OUTUBRO 17),38.568600,-8.899080,,,130045,,118940,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130046,PALMELA (LARGO 5 DE OUTUBRO 17),38.568600,-8.899010,,,130046,,118940,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130047,PALMELA (R G COUTINHO E SAC CABRAL 41A),38.569600,-8.900030,,,130047,,118941,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130049,PALMELA (CINETEATRO S. JOÃO),38.571500,-8.901980,,,130049,,119057,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130051,PALMELA (AV DA LIBERDADE 1),38.573200,-8.901450,,,130051,,118959,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130053,PALMELA (RUA LÚCIO BORGES DA COSTA),38.573900,-8.901160,,,130053,,118997,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130055,PALMELA (AV BOMB VOLUNT) MISERICÓRDIA,38.572300,-8.899250,,,130055,,118996,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130057,PALMELA (AV BOMB VOLUNT) ESCOLA,38.569400,-8.898490,,,130057,,118943,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130059,PALMELA (R SERPA PINTO 149),38.568400,-8.899490,,,130059,,119058,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130061,PALMELA (R SERPA PINTO 87A),38.568900,-8.900980,,,130061,,119059,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130062,PALMELA (R SERPA PINTO 23),38.569600,-8.902040,,,130062,,,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130063,PALMELA (R AUGUSTO CARDOSO 24),38.570100,-8.902950,,,130063,,119060,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130065,PALMELA (TERMINAL P1),38.570500,-8.905250,,,130065,,32290,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
0,0,0,1,130067,PALMELA (AV PALMELENSE FUTEBOL CLUBE),38.572100,-8.910360,,,130067,,129471,1,0,,,,,,,,,,,,,,,,,,PT170,1508,,,,,,
