fare_id,route_id
LONGA,2791_3
LONGA,2792_0
LONGA,2792_1
LONGA,2794_0
LONGA,2794_1
LONGA,2795_0
LONGA,2795_1
LONGA,2795_2
LONGA,2795_3
LONGA,2796_0
LONGA,2796_1
LONGA,2797_0
LONGA,2797_1
LONGA,2797_2
LONGA,2810_0
LONGA,2811_0
LONGA,2811_1
LONGA,2812_0
LONGA,2812_1
LONGA,2812_2
LONGA,2813_0
LONGA,2814_0
LONGA,2816_0
LONGA,2817_0
LONGA,2818_0
LONGA,2819_0
LONGA,2820_0
LONGA,2821_0
LONGA,2821_1
LONGA,2822_0
LONGA,2823_0
LONGA,2824_0
LONGA,2824_1
LONGA,2830_1
LONGA,2831_0
LONGA,2832_0
LONGA,2833_0
LONGA,2833_1
LONGA,2841_0
LONGA,2841_1
LONGA,2841_2
LONGA,2842_0
LONGA,2901_0
LONGA,2901_1
LONGA,2906_0
LONGA,2907_0
LONGA,2910_0
LONGA,2910_1
LONGA,2911_0
LONGA,2911_1
LONGA,2912_0
LONGA,2913_0
LONGA,2913_1
LONGA,2915_0
LONGA,2920_0
LONGA,2926_0
LONGA,2926_1
LONGA,2926_2
LONGA,2926_3
LONGA,2927_0
LONGA,2927_1
LONGA,2928_0
LONGA,2928_1
LONGA,2928_2
LONGA,3003_0
LONGA,3004_1
LONGA,3006_0
LONGA,3007_0
LONGA,3008_0
LONGA,3009_0
LONGA,3011_0
LONGA,3011_1
LONGA,3012_0
LONGA,3012_1
LONGA,3013_0
LONGA,3014_0
LONGA,3015_0
LONGA,3017_0
LONGA,3018_0
LONGA,3019_0
LONGA,3021_0
LONGA,3022_1
LONGA,3023_0
LONGA,3024_0
LONGA,3027_0
LONGA,3027_1
LONGA,3030_0
LONGA,3033_0
LONGA,3034_1
LONGA,3040_0
LONGA,3040_1
LONGA,3041_0
LONGA,3103_0
LONGA,3104_0
LONGA,3105_0
LONGA,3106_0
LONGA,3109_0
LONGA,3110_0
LONGA,3111_0
LONGA,3111_1
LONGA,3114_0
LONGA,3116_0
LONGA,3116_1
LONGA,3118_0
LONGA,3118_1
LONGA,3119_0
LONGA,3120_0
LONGA,3201_0
LONGA,3202_0
LONGA,3203_0
LONGA,3204_0
LONGA,3205_0
LONGA,3206_0
LONGA,3207_0
LONGA,3208_0
LONGA,3209_0
LONGA,3210_0
LONGA,3210_1
LONGA,3211_0
LONGA,3212_0
LONGA,3213_0
LONGA,3214_0
LONGA,3215_0
LONGA,3216_0
LONGA,3217_0
LONGA,3221_0
LONGA,3502_0
LONGA,3503_0
LONGA,3504_0
LONGA,3505_0
LONGA,3506_0
LONGA,3507_1
LONGA,3508_0
LONGA,3508_1
LONGA,3508_2
LONGA,3508_3
LONGA,3509_0
LONGA,3509_1
LONGA,3510_0
LONGA,3511_0
LONGA,3511_1
LONGA,3512_0
LONGA,3513_0
LONGA,3513_1
LONGA,3514_0
LONGA,3515_0
LONGA,3516_0
LONGA,3517_0
LONGA,3518_0
LONGA,3521_0
LONGA,3521_1
LONGA,3523_0
LONGA,3523_1
LONGA,3524_1
LONGA,3525_0
LONGA,3526_0
LONGA,3526_1
LONGA,3527_0
LONGA,3527_1
LONGA,3528_0
LONGA,3535_0
LONGA,3536_0
LONGA,3540_0
LONGA,3541_0
LONGA,3543_0
LONGA,3544_0
LONGA,3545_0
LONGA,3546_0
LONGA,3547_0
LONGA,3548_0
LONGA,3549_0
LONGA,3601_0
LONGA,3605_0
